2.958	1.740	1.542	6.581	5.262	0.222	3.051
2.896	1.560	1.666	6.357	5.347	0.212	3.006
2.839	1.368	1.761	6.358	5.439	0.236	3.000
2.697	1.293	1.815	6.092	5.524	0.301	2.954
2.479	1.219	2.018	5.930	5.609	0.364	2.936
2.300	1.143	2.272	5.959	5.570	0.402	2.941
2.194	1.034	2.688	5.943	4.776	0.376	2.835
2.122	1.040	2.711	5.880	3.896	0.313	2.660
2.044	1.049	2.697	5.693	3.588	0.313	2.564
1.962	1.057	2.477	5.324	3.634	0.289	2.457
1.857	1.037	2.573	5.001	3.588	0.378	2.406
1.881	1.091	2.712	4.836	3.696	0.586	2.467
2.097	1.074	2.624	4.843	4.267	0.764	2.612
2.145	1.131	2.691	5.008	4.706	0.815	2.749
2.037	1.216	2.808	4.963	4.683	0.885	2.765
1.795	1.211	2.681	4.594	4.861	0.841	2.664
1.531	1.330	2.571	4.377	5.339	0.863	2.668
1.151	1.320	2.484	4.367	5.570	0.885	2.629
0.876	1.371	2.411	4.338	5.447	0.921	2.561
0.704	1.415	2.575	4.318	5.115	0.950	2.513
0.657	1.397	2.754	4.463	4.999	0.880	2.525
0.656	1.312	2.660	4.484	5.015	0.742	2.478
0.613	1.154	2.707	4.773	5.269	0.670	2.531
0.590	1.040	2.634	5.239	5.131	0.566	2.533
0.685	0.938	2.596	5.437	5.709	0.480	2.641
0.793	1.003	2.674	5.411	6.257	0.369	2.751
0.901	1.128	3.097	5.380	6.326	0.282	2.852
0.910	1.069	3.247	5.185	6.967	0.215	2.932
0.845	0.951	3.469	4.831	6.836	0.118	2.842
0.755	0.731	3.931	4.353	7.476	0.075	2.887
0.707	0.576	3.827	3.931	7.684	0.118	2.807
0.742	0.497	3.804	3.462	7.808	0.210	2.754
0.769	0.419	3.776	2.790	7.599	0.227	2.597
0.763	0.402	3.909	2.202	7.538	0.330	2.524
0.774	0.442	4.004	1.809	7.414	0.460	2.484
0.815	0.539	4.173	1.610	7.206	0.709	2.509
0.933	0.628	4.218	1.505	7.191	0.901	2.563
1.010	0.680	4.013	1.394	7.121	0.947	2.528
1.010	0.684	4.112	1.132	6.951	0.759	2.441
0.998	0.690	4.078	0.935	6.620	0.516	2.306
1.043	0.784	3.941	0.748	6.288	0.598	2.234
1.196	0.875	3.866	0.638	5.987	0.824	2.231
